plot;vegetation;ABBB;zeh;eh;OM;IRIS(new_TS);IRIS(new_total);pH;conductivity;biomass;BB;AB;zone1
1;;;-2.1005353;-22.5;7.030086387;0.539191969;0.4609089;7.681;8.02;;;;mudflat
2;;;-2.202429578;-46.5;7.618801653;0.517181261;0.448321688;7.493;;;;;mudflat
3;;;-2.013500604;-2;3.244322436;0.665687479;0.39875546;7.362;11.67;;;;mudflat
4;veg;1.258009678;-0.453244473;286.25;2.608035009;0.076551553;0.222370349;7.324;8.385;19.919;8.059;11.86;pioneer
5;veg;0.799009988;0.325822194;378;3.164835094;0.030315651;0.042701035;7.3175;7.45;15.854;8.524;7.33;pioneer
6;veg;0.595362065;-0.100860095;327.75;4.022120018;0.089226222;0.417701489;7.3575;10.195;35.079;20.039;15.04;pioneer
7;veg;6.724465129;0.512628371;400;6.245121494;0.032026812;0.063094102;7.066;6.15;27.369;3.049;24.32;low_marsh
8;veg;2.06741331;0.431962067;390.5;6.059136919;0.04243879;0.065860659;7.18;4.67;26.644;7.049;19.595;low_marsh
9;veg;3.445855956;0.518996763;400.75;1.312120355;0.064942316;0.06839791;7.435;3.505;31.059;5.114;25.945;low_marsh
10;veg;4.852297493;0.474418016;395.5;5.152220153;0.014242154;0.016881683;7.1595;2.1305;30.274;4.569;25.705;high_marsh
11;veg;3.722271028;0.42134808;389.25;5.311604072;0.00973683;0.044992112;7.5555;1.6975;19.044;3.419;15.625;high_marsh
12;veg;2.848210949;0.397997308;386.5;5.883550061;0.031776364;0.049504514;7.4075;3.04;23.629;5.159;18.47;high_marsh
4N;non-veg;;-0.107228487;327;2.542372881;0.035112065;0.10442727;7.505;5.17;;;;pioneer
5N;non-veg;;0.272752258;371.75;1.681025426;0.019004099;0.02633894;7.484;6.31;;;;pioneer
6N;non-veg;;-0.801383256;245.25;7.497484909;0.055499467;0.412267428;7.493;;;;;pioneer
7N;non-veg;;0.584803485;408.5;2.763561924;0.020928647;0.023487927;7.396;3.17;;;;low_marsh
8N;non-veg;;0.542347535;403.5;3.507462687;0.010925921;0.016804318;7.466;3.55;;;;low_marsh
9N;non-veg;;0.465926827;394.5;1.879699248;0.015820041;0.034172882;8.935;3.37;;;;low_marsh
10N;non-veg;;0.361909751;382.25;2.754753779;0.023787859;0.020867377;7.638;0.86;;;;high_marsh
11N;non-veg;;0.42134808;389.25;2.914798206;0.014516802;0.031958551;7.627;1.93;;;;high_marsh
12N;non-veg;;0.357664157;381.75;3.521306456;0.012381467;0.038006716;7.645;3.45;;;;high_marsh
