ID;zone;depth;month;vegetation;n;mean;sd;se;ci;%change
2;pioneer zone;0-5cm;August;veg;12;0.074859272;0.074472567;0.021498378;0.047317612;234.445115
4;pioneer zone;0-5cm;July;veg;12;0.081203248;0.072040751;0.020796373;0.045772509;44.20487488
6;pioneer zone;0-5cm;June;veg;12;0.089362037;0.101552127;0.029315574;0.064523143;161.3629127
8;pioneer zone;0-5cm;September;veg;12;0.016033345;0.014800589;0.004272562;0.009403846;-51.80729011
10;pioneer zone;5-10cm;August;veg;12;0.188450119;0.266797537;0.077017815;0.169515067;195.0180187
12;pioneer zone;5-10cm;July;veg;12;0.177623074;0.176405451;0.050923867;0.112082676;31.02904699
14;pioneer zone;5-10cm;June;veg;12;0.239974903;0.29879;0.086253243;0.189842109;126.3581331
16;pioneer zone;5-10cm;September;veg;12;0.034180399;0.074045069;0.02137497;0.047045992;109.6612494
18;pioneer zone;10-15cm;August;veg;12;0.182882915;0.248173995;0.071641661;0.157682234;-21.33617943
20;pioneer zone;10-15cm;July;veg;12;0.256210456;0.274938631;0.079367946;0.174687672;4.954891076
22;pioneer zone;10-15cm;June;veg;12;0.276313306;0.302046432;0.087193294;0.191911147;44.87295924
24;pioneer zone;10-15cm;September;veg;12;0.062256807;0.122822001;0.035455658;0.078037377;42.49857224
26;pioneer zone;15-20cm;August;veg;12;0.23128106;0.232923247;0.06723915;0.14799237;-7.637432934
28;pioneer zone;15-20cm;July;veg;12;0.325321638;0.304894026;0.088015324;0.193720422;16.04074529
30;pioneer zone;15-20cm;June;veg;12;0.314896511;0.311275484;0.089857492;0.197775007;79.64854835
32;pioneer zone;15-20cm;September;veg;12;0.138735323;0.188854274;0.054517533;0.119992281;-5.269450334
34;pioneer zone;20-25cm;August;veg;12;0.403568577;0.341181486;0.098490611;0.216776374;78.90188356
36;pioneer zone;20-25cm;July;veg;12;0.384446585;0.34236816;0.098833175;0.217530351;18.70035253
38;pioneer zone;20-25cm;June;veg;12;0.353007081;0.335698782;0.096907891;0.21329283;70.25431661
40;pioneer zone;20-25cm;September;veg;12;0.243771854;0.231500688;0.066828492;0.14708852;15.86859275
42;pioneer zone;25-30cm;August;veg;12;0.427630066;0.339299163;0.097947231;0.215580403;39.90229755
44;pioneer zone;25-30cm;July;veg;12;0.361803921;0.303504436;0.087614184;0.192837519;-19.31137378
46;pioneer zone;25-30cm;June;veg;12;0.254879083;0.262018003;0.075638082;0.166478297;-11.16255332
48;pioneer zone;25-30cm;September;veg;12;0.343491412;0.236217049;0.068189988;0.150085152;12.73322376
50;low marsh;0-5cm;August;veg;12;0.086855754;0.197987124;0.05715396;0.125795017;389.7812903
52;low marsh;0-5cm;July;veg;12;0.03367288;0.041788049;0.012063171;0.02655086;62.62533721
54;low marsh;0-5cm;June;veg;12;0.026909314;0.016142752;0.004660011;0.010256615;125.7781943
56;low marsh;0-5cm;September;veg;12;0.038439277;0.051309661;0.014811823;0.032600603;191.8445004
58;low marsh;5-10cm;August;veg;12;0.065343985;0.099288115;0.02866201;0.063084658;357.5530838
60;low marsh;5-10cm;July;veg;12;0.051075371;0.04816716;0.013904661;0.030603954;628.6212832
62;low marsh;5-10cm;June;veg;12;0.028889164;0.031263302;0.009024938;0.019863755;1528.091381
64;low marsh;5-10cm;September;veg;12;0.028284785;0.038354041;0.011071858;0.024368995;658.4846117
66;low marsh;10-15cm;August;veg;12;0.082907563;0.081862028;0.023631532;0.052012651;716.7253201
68;low marsh;10-15cm;July;veg;12;0.079937757;0.065940986;0.019035523;0.041896904;660.2647739
70;low marsh;10-15cm;June;veg;12;0.034699265;0.038233283;0.011036998;0.024292269;1806.197255
72;low marsh;10-15cm;September;veg;12;0.04940409;0.121606246;0.035104699;0.077264923;273.2709619
74;low marsh;15-20cm;August;veg;12;0.139532399;0.129118412;0.037273275;0.082037925;592.8196851
76;low marsh;15-20cm;July;veg;12;0.081232395;0.058677833;0.016938831;0.037282116;149.5548229
78;low marsh;15-20cm;June;veg;12;0.052792488;0.05688505;0.016421299;0.036143036;519.2723422
80;low marsh;15-20cm;September;veg;12;0.013401159;0.023264804;0.00671597;0.014781751;-49.6013119
82;low marsh;20-25cm;August;veg;12;0.129852252;0.107920644;0.031154007;0.068569506;185.3638781
84;low marsh;20-25cm;July;veg;12;0.075842976;0.043151071;0.012456641;0.027416883;71.41884679
86;low marsh;20-25cm;June;veg;12;0.044796537;0.049326148;0.014239232;0.031340339;137.6970382
88;low marsh;20-25cm;September;veg;12;0.01820985;0.025508474;0.007363662;0.016207311;16.55365371
90;low marsh;25-30cm;August;veg;12;0.187560363;0.166978655;0.048202586;0.106093176;321.070607
92;low marsh;25-30cm;July;veg;12;0.107205137;0.085817605;0.024773409;0.054525905;-10.4056358
94;low marsh;25-30cm;June;veg;12;0.083647807;0.079163055;0.022852406;0.050297806;2.974819668
96;low marsh;25-30cm;September;veg;12;0.038328802;0.029275727;0.008451174;0.018600909;7.115577386
98;high marsh;0-5cm;August;veg;12;0.015693329;0.011504285;0.003321001;0.007309474;439.5868114
100;high marsh;0-5cm;July;veg;12;0.028567882;0.056832915;0.016406249;0.036109911;8.662735466
102;high marsh;0-5cm;June;veg;12;0.019373953;0.012276524;0.003543927;0.007800131;-17.74976579
104;high marsh;0-5cm;September;veg;12;0.0107053;0.012782763;0.003690066;0.00812178;-27.80251634
106;high marsh;5-10cm;August;veg;12;0.023981191;0.013879852;0.004006768;0.008818838;464.1473167
108;high marsh;5-10cm;July;veg;12;0.041730106;0.084737351;0.024461566;0.053839544;76.52399757
110;high marsh;5-10cm;June;veg;12;0.017862299;0.010939994;0.003158104;0.006950941;-31.47582111
112;high marsh;5-10cm;September;veg;12;0.00802094;0.011297559;0.003261324;0.007178126;-12.72341104
114;high marsh;10-15cm;August;veg;12;0.032796769;0.032820374;0.009474426;0.020853071;471.4588668
116;high marsh;10-15cm;July;veg;12;0.035468626;0.051308248;0.014811415;0.032599705;29.00271293
118;high marsh;10-15cm;June;veg;12;0.020511387;0.012950117;0.003738377;0.008228112;-39.36351844
120;high marsh;10-15cm;September;veg;12;0.004388979;0.00635709;0.001835134;0.004039102;-69.18992176
122;high marsh;15-20cm;August;veg;12;0.052066495;0.041152295;0.011879644;0.026146921;403.276043
124;high marsh;15-20cm;July;veg;12;0.068653168;0.092511775;0.026705849;0.058779177;198.233324
126;high marsh;15-20cm;June;veg;12;0.026642984;0.021489079;0.006203363;0.013653509;-51.29536411
128;high marsh;15-20cm;September;veg;12;0.06572667;0.203383474;0.058711752;0.129223694;256.9337941
130;high marsh;20-25cm;August;veg;12;0.080052385;0.056971409;0.016446229;0.036197906;152.6855382
132;high marsh;20-25cm;July;veg;12;0.105652268;0.125110915;0.03611641;0.079491683;113.8261203
134;high marsh;20-25cm;June;veg;12;NA;NA;NA;NA;#WERT!
136;high marsh;20-25cm;September;veg;12;0.046976646;0.132706234;0.03830899;0.084317518;418.4651675
138;high marsh;25-30cm;August;veg;12;0.102396806;0.073610857;0.021249624;0.046770107;-69.45885979
140;high marsh;25-30cm;July;veg;12;0.133465725;0.152667609;0.044071343;0.097000371;70.14126996
142;high marsh;25-30cm;June;veg;12;NA;NA;NA;NA;#WERT!
144;high marsh;25-30cm;September;veg;12;0.041927881;0.02895703;0.008359175;0.018398419;-70.83060219
