IRIS ID;zone;vegetation;0-5cm;5-10cm;10-15cm;15-20cm;20-25cm;25-30cm;month;ID;ID_monthly;ID_plot
22a;pioneer;non-veg;0.035729691;0.151218811;0.067435159;0.037141412;0.084177261;0.624596398;June;1;1;1
22b;pioneer;non-veg;0.060366511;0.076200717;0.032751716;0.035832494;0.291983364;0.35791586;June;2;2;1
23a;pioneer;non-veg;0.040649218;0.03748232;0.065406562;0.033418295;0.074409393;0.134987593;June;3;3;2
23b;pioneer;non-veg;0.010347155;0.02430017;0.050643206;0.039515474;0.036916476;0.178766416;June;4;4;2
24a;pioneer;non-veg;0.007880455;0.002155172;0.006318763;0.000823477;0.010200255;0.021651184;June;5;5;3
24b;pioneer;non-veg;0.00543021;0.001526135;0.000763068;0.000305227;0.00015266;0.005408747;June;6;6;3
25a;pioneer;non-veg;0.010459612;0.005876068;0.005265166;0.062647844;0.071968252;0.077623823;June;7;7;4
25b;pioneer;non-veg;0.002792405;0;0.010399815;0.017872275;0.04783915;0.248588881;June;8;8;4
26a;pioneer;non-veg;0.115278761;0.398555531;0.469880402;0.633925309;0.598756856;0.607019351;June;9;9;5
26b;pioneer;non-veg;0.014896989;0.133045292;0.269397981;0.391849068;0.471494948;0.482802263;June;10;10;5
27a;pioneer;non-veg;0.070692953;0.149775337;0.643543907;0.449223757;0.240831731;0.38367522;June;11;11;6
27b;pioneer;non-veg;0.035765487;0.292051487;0.666930323;0.400862379;0.559362206;0.319824359;June;12;12;6
28a;pioneer;veg;0.096039678;0.29942029;0.149720994;0.466463856;0.793103448;0.600102182;June;13;13;7
28b;pioneer;veg;0.240446707;0.711459555;0.588866973;0.675653953;0.679967843;0.523973103;June;14;14;7
29a;pioneer;veg;0.049517262;0.044452424;0.127254437;0.056373429;0.108380049;0.08438667;June;15;15;8
29b;pioneer;veg;0.032649676;0.057389763;0.064558921;0.149583671;0.185911134;0.013926756;June;16;16;8
30a;pioneer;veg;0.018914922;0.001134902;0.000378301;0.000302641;0.004539608;0.00582583;June;17;17;9
30b;pioneer;veg;0.010908247;0.000152683;0.002213909;0.022902512;0.023971296;0.012808713;June;18;18;9
31a;pioneer;veg;0.011772092;0.011098613;0.0047994;0.019422572;0.001574803;0.006603136;June;19;19;10
31b;pioneer;veg;0.010629284;0.001513203;0.008929247;0.004463948;0.000756601;0.016734818;June;20;20;10
32a;pioneer;veg;0.056521739;0.068656079;0.367314953;0.789301232;0.666547967;0.455641135;June;21;21;11
32b;pioneer;veg;0.043430577;0.795225421;0.759139627;0.687839502;0.78687337;0.646479281;June;22;22;11
33a;pioneer;veg;0.190989518;0.304187555;0.774379008;0.608493696;0.648251955;0.462690974;June;23;23;12
33b;pioneer;veg;0.310524747;0.585008345;0.468203901;0.297957114;0.336206897;0.229376403;June;24;24;12
34a;low_marsh;non-veg;0.011903002;0.000294703;0.000147341;0.000221435;0.00508662;0.014517318;June;25;25;13
34b;low_marsh;non-veg;0.008559089;0;0;0;0;0.033241216;June;26;26;13
35a;low_marsh;non-veg;0.037801194;0.00591716;0.007236313;0.02806197;0.018859649;0.10003659;June;27;27;14
35b;low_marsh;non-veg;0.001308195;0.000674916;0;0.006299213;0.01912261;0.082870856;June;28;28;14
36a;low_marsh;non-veg;0.007530008;0.000663032;0.004864387;0.00273325;0.006297229;0.029163583;June;29;29;15
36b;low_marsh;non-veg;0.002949853;0.000146499;0.000147341;0.007519351;0.000812768;0.024606517;June;30;30;15
37a;low_marsh;non-veg;0.013378182;0.002083178;0;0.000966327;0.024188747;0.034480191;June;31;31;16
37b;low_marsh;non-veg;0.00117472;0.001049869;0;0.001724784;0.00832396;0.06104237;June;32;32;16
38a;low_marsh;non-veg;0.00956975;0.000680941;0.00015132;0.000453995;0.007566013;0.121988295;June;33;33;17
38b;low_marsh;non-veg;0.013816926;0.000149936;7.50E-05;0.016204051;0.022571148;0.081260866;June;34;34;17
39a;low_marsh;non-veg;0.017405318;0;0.000313849;0.004943115;0.021341703;0.030348298;June;35;35;18
39b;low_marsh;non-veg;0.017625441;0.009632795;0.008908525;0.03317158;0.091982328;0.36121976;June;36;36;18
40a;low_marsh;veg;0.022230595;0.010905608;0.075897134;0.134330558;0.171026453;0.225186059;June;37;37;19
40b;low_marsh;veg;0.007741451;0.000220183;0.001607365;0.008332115;0.008914219;0.032184917;June;38;38;19
41a;low_marsh;veg;0.016657991;0.012817728;0.012244602;0.015485451;0.006923909;0.029087767;June;39;39;20
41b;low_marsh;veg;0.054015228;0.050676848;0.052164262;0.058770656;0.053806048;0.055451324;June;40;40;20
42a;low_marsh;veg;0.014586967;0.002572445;0.000756601;0.001664523;0.001588863;0.035497112;June;41;41;21
42b;low_marsh;veg;0.039735597;0.022333932;0.02513465;0.03037702;0.033608618;0.040556199;June;42;42;21
43a;low_marsh;veg;0.050962876;0.090233992;0.053044636;0.063966931;0.05007715;0.056746532;June;43;43;22
43b;low_marsh;veg;0.013991832;0.022207612;0.020329068;0.093279766;0.050109569;0.091800161;June;44;44;22
44a;low_marsh;veg;0.011655188;0.002099108;0.000299873;7.50E-05;0;0.013223267;June;45;45;23
44b;low_marsh;veg;0.038065545;0.057779994;0.046665717;0.051150531;0.06561231;0.1411161;June;46;46;23
45a;low_marsh;veg;0.016187595;0.001134473;0.002344577;0.000302572;0.006001215;0.035234513;June;47;47;24
45b;low_marsh;veg;0.037080897;0.073688047;0.125902692;0.17577473;0.089890094;0.247689733;June;48;48;24
46a;high_marsh;non-veg;0.031986654;0.023018814;0.024005144;0.024301337;;;June;49;49;25
46b;high_marsh;non-veg;0.025072464;0.027633359;0.025292106;0.029741903;;;June;50;50;25
47a;high_marsh;non-veg;0.016389876;0.028487999;0.033262108;0.077443813;;;June;51;51;26
47b;high_marsh;non-veg;0.02057971;0.01759134;0.01880208;0.051363295;;;June;52;52;26
48a;high_marsh;non-veg;0.013936271;0.022763064;0.03566559;0.066800315;;;June;53;53;27
48b;high_marsh;non-veg;0.013486079;0.021907216;0.019223846;0.022936439;;;June;54;54;27
49a;high_marsh;non-veg;0.021403611;0.017666334;0.020310718;0.026938192;;;June;55;55;28
49b;high_marsh;non-veg;0.024063202;0.030309529;0.058412879;0.089250071;;;June;56;56;28
50a;high_marsh;non-veg;0.033699687;0.031079529;0.027085279;0.034388489;;;June;57;57;29
50b;high_marsh;non-veg;0.032606301;0.043088099;0.039420872;0.050846242;;;June;58;58;29
51a;high_marsh;non-veg;0.019210876;0.021151757;0.068530861;0.147316579;;;June;59;59;30
51b;high_marsh;non-veg;0.030223962;0.028108725;0.035910224;0.035111459;;;June;60;60;30
52a;high_marsh;veg;0.040136449;0.02485578;0.039669539;0.049284239;;;June;61;61;31
52b;high_marsh;veg;0.006650588;0.005745475;0.004885759;0.014595916;;;June;62;62;31
53a;high_marsh;veg;0.024641252;0.027348479;0.02307528;0.015885454;;;June;63;63;32
53b;high_marsh;veg;0.01852552;0.017538644;0.012039239;0.010998811;;;June;64;64;32
54a;high_marsh;veg;0.000530183;0.007134364;0.014937574;0.009669022;;;June;65;65;33
54b;high_marsh;veg;0.017525998;0.022819944;0.025085519;0.028695838;;;June;66;66;33
55a;high_marsh;veg;0.014133727;0.005469954;0.004070035;0.001221094;;;June;67;67;34
55b;high_marsh;veg;0.004391919;0.002587424;0.003293859;0.003619482;;;June;68;68;34
56a;high_marsh;veg;0.027463297;0.025069439;0.027989459;0.064026779;;;June;69;69;35
56b;high_marsh;veg;0.02790664;0.02022648;0.035253899;0.058831909;;;June;70;70;35
57a;high_marsh;veg;0.014857226;0.01659426;0.01915818;0.02392992;;;June;71;71;36
57b;high_marsh;veg;0.035724638;0.038957339;0.036678299;0.038957339;;;June;72;72;36
22a;pioneer;non-veg;0.044502618;0.101467918;0.040160339;0.042508131;0.269873686;0.372845479;July;73;1;1
22b;pioneer;non-veg;0.044247788;0.057747543;0.0362275;0.080698835;0.263575858;0.709526328;July;74;2;1
23a;pioneer;non-veg;0.120548551;0.208411893;0.185526602;0.122379398;0.060370505;0.158845289;July;75;3;2
23b;pioneer;non-veg;0.014542729;0.040374272;0.137184116;0.047668165;0.183526118;0.603919546;July;76;4;2
24a;pioneer;non-veg;0.037587413;0.026495726;0.124065238;0.028772879;0.096574318;0.193189964;July;77;5;3
24b;pioneer;non-veg;0.010432852;0.010646773;0.012529876;0.018106757;0.040848845;0.150286087;July;78;6;3
25a;pioneer;non-veg;0.030762534;0.02425107;0.012087833;0.024962556;0.024024024;0.039024042;July;79;7;4
25b;pioneer;non-veg;0.024203158;0.05483067;0.03748356;0.033747261;0.022352082;0.047406866;July;80;8;4
26a;pioneer;non-veg;0.078635243;0.364317047;0.646192203;0.715515939;0.631762125;0.735911769;July;81;9;5
26b;pioneer;non-veg;0.209715913;0.554130946;0.583875359;0.682877023;0.629811692;0.90297718;July;82;10;5
27a;pioneer;non-veg;0.034541546;0.153545303;0.495832724;0.763691684;0.827423682;0.703824424;July;83;11;6
