SlideNumber;MeanROI1;MeanROI2;MeanROI3;MeanROI4;MeanROI5;StDevROI1;StDevROI2;StDevROI3;StDevROI4;StDevROI5;ValidPixelROI1;ValidPixelROI2;ValidPixelROI3;ValidPixelROI4;ValidPixelROI5
1;21.1293;22.4855;23.2799;24.2604;22.4983;447706;462377;4.671;4.66198;4.41525;7754;7877;6558;3918;6931
2;19.2726;21.4541;23.3730;24.6330;22.7779;466088;455897;4.76086;4.77736;4.45834;7754;7877;6558;3918;6931
3;18.0309;20.5490;23.1718;24.5488;22.7415;477467;459709;4.8772;5.08906;4.57291;7754;7877;6558;3918;6931
4;17.5540;19.9299;23.2360;24.4930;22.9489;470430;458157;4.81946;5.01284;4.44733;7754;7877;6558;3918;6931
5;16.9687;19.4073;22.8786;24.3501;22.6128;458024;439593;4.84461;4.95841;4.60076;7754;7877;6558;3918;6931
6;16.4143;18.7923;22.6797;24.2219;22.5257;456877;425684;4.68028;4.78317;4.48211;7754;7877;6558;3918;6931
7;16.2108;18.3786;22.7363;24.1445;22.5641;462511;421988;4.90197;4.68304;4.45548;7754;7877;6558;3918;6931
8;15.9448;17.9007;22.5472;24.0889;22.2270;451908;417804;4.84975;5.06708;4.33576;7754;7877;6558;3918;6931
9;15.4250;17.6981;22.5275;23.7144;22.3120;442173;410621;4.79674;4.73717;4.39559;7754;7877;6558;3918;6931
10;15.2096;17.2971;22.3333;23.9074;22.0281;455752;404960;4.78961;4.87335;4.32953;7754;7877;6558;3918;6931
11;14.8685;17.0611;22.1044;23.5780;22.1161;438116;395672;4.5913;4.6251;4.39177;7754;7877;6558;3918;6931
12;14.5158;16.6195;22.0605;23.5901;21.9198;436139;380478;4.65784;4.85628;4.3453;7754;7877;6558;3918;6931
13;14.2929;16.4067;21.9845;23.6450;21.7773;436140;393809;4.6075;4.78379;4.38583;7754;7877;6558;3918;6931
14;14.2723;16.1701;22.0645;23.1877;22.0253;447006;384040;4.91129;4.53444;4.46286;7754;7877;6558;3918;6931
15;13.9449;15.8502;21.6941;23.2038;21.6960;433716;384909;4.70745;4.71088;4.32477;7754;7877;6558;3918;6931
16;13.8774;15.6316;21.7194;23.0805;21.6803;445138;379344;4.67347;4.59219;4.32198;7754;7877;6558;3918;6931
17;13.5133;15.3811;21.3541;22.9827;21.4119;426233;365971;4.60854;4.58227;4.22353;7754;7877;6558;3918;6931
18;13.4702;15.2493;21.1651;23.0329;21.2619;420598;373285;4.68705;4.55128;4.27178;7754;7877;6558;3918;6931
19;13.2318;14.8742;21.3775;22.8342;21.2734;418052;371443;4.48242;4.52887;4.19143;7754;7877;6558;3918;6931
20;12.9288;14.7360;21.2326;22.7796;21.1670;420915;358901;4.39624;4.4484;4.27877;7754;7877;6558;3918;6931
21;12.8668;14.4076;20.8752;22.5710;21.2866;411280;354502;4.44549;4.57785;4.27921;7754;7877;6558;3918;6931
22;12.6772;14.2056;20.8448;22.5652;20.8597;403844;354435;4.59015;4.51176;4.12312;7754;7877;6558;3918;6931
23;12.6169;14.0312;20.7214;22.1634;20.8143;425399;348840;4.55457;4.25186;4.11983;7754;7877;6558;3918;6931
24;12.3857;13.9262;20.7231;22.0808;20.8610;405068;355040;4.55111;4.44589;4.14659;7754;7877;6558;3918;6931
25;12.1974;13.6654;20.4252;22.1825;20.5045;401459;344831;4.59756;4.33642;4.06414;7754;7877;6558;3918;6931
26;12.0472;13.4601;20.4133;21.9537;20.5390;407586;341059;4.41744;4.43992;4.03657;7754;7877;6558;3918;6931
27;11.9070;13.3211;20.1868;21.7599;20.3796;401124;344876;4.45941;4.22322;4.1233;7754;7877;6558;3918;6931
28;11.7608;13.2204;20.0443;21.4763;20.1737;413249;335618;4.40724;4.19388;4.04058;7754;7877;6558;3918;6931
29;11.6142;12.9529;19.8123;21.6182;20.1104;399811;331599;4.25491;4.48524;3.99302;7754;7877;6558;3918;6931
30;11.4340;12.7678;19.7510;21.4090;19.9980;392250;326799;4.50799;4.41547;3.98459;7754;7877;6558;3918;6931
31;11.3597;12.6375;19.7160;21.3572;19.8700;392224;334398;4.39425;4.29799;4.12395;7754;7877;6558;3918;6931
