IRIS ID;Pot ID;vegetation;zone;plant_species;areareduced_new;mean;se;sd;se2;% change;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB;;mean;mean2;Spalte9;areareduced_4;areareduced_3;areareduced_2;bottom5;mean3;std_soil_new;Spalte1;Spalte2;areareduced_new
26a;t74;veg;high-marsh;atriplex portulacoides;0.000365364;;;;;-95.28028656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.206321453;;;;;;0.149758454;0.351525602;0.062307635;0.339548302;0.250642028;0.914635847;0.076277251;;0.005351221
26b;t74;veg;high-marsh;atriplex portulacoides;0.000594884;;;;;-92.31538409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.107530864;0.11758714;;0.082160419;;;0.05648038;0.208473338;0.002100525;0.189213639;0.132476859;-0.634517633;;;0.009438136
27a;t71;veg;high-marsh;atriplex portulacoides;0.035237587;;;;;355.1934862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000113456;;;;;;0;0.080440813;0.017772423;0.126916394;0.040220406;-0.648000948;0.036177862;;0.008543777
27b;t71;veg;high-marsh;atriplex portulacoides;0.055984704;;;;;623.2014095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.03682954;;0.012414966;;;0;0.1117717;0.072637781;0.164112553;0.05588585;-0.214989064;;;0.04100263
28a;t73;veg;high-marsh;atriplex portulacoides;0.004364589;;;;;-43.61894069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.018274774;;;;;;0.01609572;0.272059375;0.081352628;0.292833964;0.144077547;2.222736472;;;0.054049783
28b;t73;veg;high-marsh;atriplex portulacoides;0.004219711;;;;;-45.49045141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000337458;0.042463791;;0.018567904;;;0.000224904;0.041197955;0.01002728;0.124843297;0.02071143;-1.187252721;;;0.001609599
29a;t51;veg;high-marsh;atriplex portulacoides;0.102318342;;;;;1221.731899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.003273322;;;;;;0.002463768;0.162235208;0.080062098;0.092551022;0.082349488;0.516498007;;;0.062970728
29b;t51;veg;high-marsh;atriplex portulacoides;0.080334596;;;;;937.7494013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.001339435;0.048098042;;0.023777282;;;0.000668847;0.068012065;0.013291232;0.083492487;0.034340456;-0.810529902;;old analysis data;0.027525644
30a;t61;veg;high-marsh;atriplex portulacoides;0.000221076;;;;;-97.14417576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.001115947;;;;;;0.000445898;0.057761733;0.001850755;0.088497532;0.029103815;-0.955277015;;old data_ std calculated to group mean ;0.003697404
30b;t61;veg;high-marsh;atriplex portulacoides;0.000146113;;;;;-98.11253575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.011660854;0.036797708;;0.006642511;;;0.010557311;0.091040776;0.001614916;0.080703493;0.050799044;-0.355594555;;old data_ std calculated to soil group mean;0.010095837
